Ticker,Company Name,Years to 0 Profit (All),Years to 0 Profit (CO2 only),Years to 0 Profit (Water only),Years to 0 Profit (Electricity only)
CI,Cigna,> 74,> 74,> 74,> 74
CINF,Cincinnati Financial,> 74,> 74,> 74,> 74
CTAS,Cintas,> 74,> 74,> 74,> 74
CSCO,Cisco,> 74,> 74,> 74,> 74
C,Citigroup,> 74,> 74,> 74,> 74
CFG,Citizens Financial Group,> 74,> 74,> 74,> 74
CLX,Clorox,> 74,> 74,> 74,> 74
CME,CME Group,> 74,> 74,> 74,> 74
CMS,CMS Energy,4,4,> 74,> 74
KO,Coca-Cola Company (The),73,> 74,> 74,> 74
CTSH,Cognizant,> 74,> 74,> 74,> 74
CL,Colgate-Palmolive,> 74,> 74,> 74,> 74
CMCSA,Comcast,> 74,> 74,> 74,> 74
CMA,Comerica,> 74,> 74,> 74,> 74
CAG,Conagra Brands,0,0,0,0
COP,ConocoPhillips,4,4,> 74,> 74
ED,Consolidated Edison,7,66,> 74,> 74
STZ,Constellation Brands,> 74,> 74,> 74,> 74
CEG,Constellation Energy,4,4,22,> 74
COO,CooperCompanies,> 74,> 74,> 74,> 74
CPRT,Copart,4,4,> 74,> 74
GLW,Corning Inc.,7,14,> 74,> 74
CTVA,Corteva,65,> 74,> 74,> 74
CSGP,CoStar Group,> 74,> 74,> 74,> 74
COST,Costco,4,4,> 74,> 74
CTRA,Coterra,> 74,> 74,> 74,> 74
CCI,Crown Castle,> 74,> 74,> 74,> 74
CSX,CSX,62,65,> 74,> 74
CMI,Cummins,> 74,> 74,> 74,> 74
CVS,CVS Health,> 74,> 74,> 74,> 74
DHI,D.R. Horton,> 74,> 74,> 74,> 74
DHR,Danaher Corporation,> 74,> 74,> 74,> 74
DRI,Darden Restaurants,72,> 74,> 74,> 74
DVA,DaVita Inc.,> 74,> 74,> 74,> 74
DE,John Deere,> 74,> 74,> 74,> 74
DAL,Delta Air Lines,4,4,> 74,> 74
XRAY,Dentsply Sirona,0,0,0,0
DVN,Devon Energy,38,53,> 74,> 74
DXCM,Dexcom,> 74,> 74,> 74,> 74
FANG,Diamondback Energy,50,59,> 74,> 74
DLR,Digital Realty,7,48,> 74,> 74
DFS,Discover Financial,> 74,> 74,> 74,> 74
DIS,Disney,> 74,> 74,> 74,> 74
DG,Dollar General,> 74,> 74,> 74,> 74
DLTR,Dollar Tree,> 74,> 74,> 74,> 74
D,Dominion Energy,4,4,> 74,> 74
DPZ,Domino's,> 74,> 74,> 74,> 74
DOV,Dover Corporation,> 74,> 74,> 74,> 74
DOW,Dow Inc.,0,0,0,0
DTE,DTE Energy,4,4,11,> 74
DUK,Duke Energy,3,4,3,> 74
DD,DuPont,4,4,16,> 74
DXC,DXC Technology,4,4,> 74,21
EMN,Eastman Chemical Company,4,4,6,6
ETN,Eaton Corporation,> 74,> 74,> 74,> 74
EBAY,eBay,> 74,> 74,> 74,> 74
ECL,Ecolab,> 74,> 74,> 74,> 74
EIX,Edison International,12,50,> 74,> 74
EW,Edwards Lifesciences,> 74,> 74,> 74,> 74
EA,Electronic Arts,> 74,> 74,> 74,> 74
ELV,Elevance Health,> 74,> 74,> 74,> 74
LLY,Eli Lilly and Company,> 74,> 74,> 74,> 74
EMR,Emerson Electric,> 74,> 74,> 74,> 74
ENPH,Enphase,> 74,> 74,> 74,> 74
ETR,Entergy,4,4,54,20
EOG,EOG Resources,> 74,> 74,> 74,> 74
EPAM,EPAM Systems,> 74,> 74,> 74,> 74
EQT,EQT,> 74,> 74,> 74,> 74
EFX,Equifax,> 74,> 74,> 74,> 74
EQIX,Equinix,> 74,> 74,> 74,> 74
EQR,Equity Residential,> 74,> 74,> 74,> 74
ESS,Essex Property Trust,> 74,> 74,> 74,> 74
EL,Estée Lauder Companies (The),> 74,> 74,> 74,> 74
ETSY,Etsy,> 74,> 74,> 74,> 74
EG,Everest Re,> 74,> 74,> 74,> 74
EVRG,Evergy,4,4,47,18
ES,Eversource,46,> 74,53,> 74
EXC,Exelon,4,4,> 74,> 74
EXPE,Expedia Group,> 74,> 74,> 74,> 74
EXPD,Expeditors International,> 74,> 74,> 74,> 74
EXR,Extra Space Storage,> 74,> 74,> 74,> 74
XOM,ExxonMobil,4,4,> 74,> 74
FFIV,F5,> 74,> 74,> 74,> 74
FDS,FactSet,> 74,> 74,> 74,> 74
FICO,Fair Isaac,> 74,> 74,> 74,> 74
FAST,Fastenal,> 74,> 74,> 74,> 74
FRT,Federal Realty,> 74,> 74,> 74,> 74
FDX,FedEx,4,4,> 74,> 74
FITB,Fifth Third Bank,> 74,> 74,> 74,> 74
FSLR,First Solar,> 74,> 74,> 74,> 74
FE,FirstEnergy,4,4,56,4
FIS,FIS,> 74,> 74,> 74,> 74
FI,Fiserv,> 74,> 74,> 74,> 74
FLT,Fleetcor,> 74,> 74,> 74,> 74
FMC,FMC Corporation,0,0,0,0
F,Ford Motor Company,0,0,0,0
FTNT,Fortinet,> 74,> 74,> 74,> 74
FTV,Fortive,> 74,> 74,> 74,> 74
FOXA,Fox Corporation (Class A),> 74,> 74,> 74,> 74
FOX,Fox Corporation (Class B),> 74,> 74,> 74,> 74
BEN,Franklin Templeton,> 74,> 74,> 74,> 74
FCX,Freeport-McMoRan,4,4,11,> 74
GRMN,Garmin,> 74,> 74,> 74,> 74
IT,Gartner,> 74,> 74,> 74,> 74
GEHC,GE HealthCare,> 74,> 74,> 74,> 74
GEN,Gen Digital,> 74,> 74,> 74,> 74
GNRC,Generac,> 74,> 74,> 74,> 74
GD,General Dynamics,> 74,> 74,> 74,> 74
GE,General Electric,> 74,> 74,> 74,> 74
GIS,General Mills,0,0,0,0
GM,General Motors,60,> 74,> 74,> 74
GPC,Genuine Parts Company,4,4,> 74,> 74
GILD,Gilead Sciences,> 74,> 74,> 74,> 74
GL,Globe Life,> 74,> 74,> 74,> 74
GPN,Global Payments,> 74,> 74,> 74,> 74
GS,Goldman Sachs,> 74,> 74,> 74,> 74
HAL,Halliburton,14,16,> 74,> 74
HIG,Hartford (The),> 74,> 74,> 74,> 74
HAS,Hasbro,0,0,0,0
HCA,HCA Healthcare,> 74,> 74,> 74,> 74
PEAK,Healthpeak,> 74,> 74,> 74,> 74
HSIC,Henry Schein,> 74,> 74,> 74,> 74
HSY,Hershey's,4,4,> 74,> 74
HES,Hess Corporation,> 74,> 74,> 74,> 74
HPE,Hewlett Packard Enterprise,4,4,> 74,> 74
HLT,Hilton Worldwide,13,50,74,> 74
HOLX,Hologic,> 74,> 74,> 74,> 74
HD,Home Depot (The),> 74,> 74,> 74,> 74
HON,Honeywell,> 74,> 74,> 74,> 74
HRL,Hormel Foods,15,36,69,> 74
HST,Host Hotels & Resorts,> 74,> 74,> 74,> 74
HWM,Howmet Aerospace,> 74,> 74,> 74,> 74
HPQ,HP Inc.,> 74,> 74,> 74,> 74
HUM,Humana,> 74,> 74,> 74,> 74
HBAN,Huntington Bancshares,> 74,> 74,> 74,> 74
HII,Huntington Ingalls Industries,> 74,> 74,> 74,> 74
IBM,IBM,> 74,> 74,> 74,> 74
IEX,IDEX Corporation,> 74,> 74,> 74,> 74
IDXX,Idexx Laboratories,> 74,> 74,> 74,> 74
ITW,Illinois Tool Works,> 74,> 74,> 74,> 74
ILMN,Illumina,> 74,> 74,> 74,> 74
INCY,Incyte,> 74,> 74,> 74,> 74
IR,Ingersoll Rand,> 74,> 74,> 74,> 74
PODD,Insulet,> 74,> 74,> 74,> 74
INTC,Intel,0,0,0,0
ICE,Intercontinental Exchange,> 74,> 74,> 74,> 74
IFF,International Flavors & Fragrances,0,0,0,0
IP,International Paper,0,0,0,0
IPG,Interpublic Group of Companies (The),> 74,> 74,> 74,> 74
INTU,Intuit,> 74,> 74,> 74,> 74
ISRG,Intuitive Surgical,> 74,> 74,> 74,> 74
IVZ,Invesco,0,0,0,0
INVH,Invitation Homes,> 74,> 74,> 74,> 74
IQV,IQVIA,> 74,> 74,> 74,> 74
IRM,Iron Mountain,> 74,> 74,> 74,> 74
JBHT,J.B. Hunt,4,4,> 74,> 74
JKHY,Jack Henry & Associates,> 74,> 74,> 74,> 74
J,Jacobs Solutions,> 74,> 74,> 74,> 74
JNJ,Johnson & Johnson,> 74,> 74,> 74,> 74
JCI,Johnson Controls,> 74,> 74,> 74,> 74
JPM,JPMorgan Chase,> 74,> 74,> 74,> 74
JNPR,Juniper Networks,4,4,> 74,> 74
K,Kellogg's,> 74,> 74,> 74,> 74
KVUE,Kenvue,> 74,> 74,> 74,> 74
KDP,Keurig Dr Pepper,> 74,> 74,> 74,> 74
KEY,KeyCorp,> 74,> 74,> 74,> 74
KEYS,Keysight,> 74,> 74,> 74,> 74
KMB,Kimberly-Clark,27,64,65,> 74
KIM,Kimco Realty,> 74,> 74,> 74,> 74
KMI,Kinder Morgan,4,4,> 74,> 74
KLAC,KLA Corporation,> 74,> 74,> 74,> 74
KHC,Kraft Heinz,0,0,0,0
KR,Kroger,4,4,> 74,> 74
LHX,L3Harris,> 74,> 74,> 74,> 74
LH,LabCorp,> 74,> 74,> 74,> 74
LRCX,Lam Research,> 74,> 74,> 74,> 74
LW,Lamb Weston,4,4,> 74,> 74
LVS,Las Vegas Sands,> 74,> 74,> 74,> 74
LDOS,Leidos,> 74,> 74,> 74,> 74
LEN,Lennar,> 74,> 74,> 74,> 74
LNC,Lincoln Financial,> 74,> 74,> 74,> 74
LIN,Linde plc,4,4,> 74,> 74
LYV,Live Nation Entertainment,> 74,> 74,> 74,> 74
LKQ,LKQ Corporation,> 74,> 74,> 74,> 74
LMT,Lockheed Martin,> 74,> 74,> 74,> 74
L,Loews Corporation,> 74,> 74,> 74,> 74
LOW,Lowe's,> 74,> 74,> 74,> 74
LYB,LyondellBasell,0,0,0,0
MTB,M&T Bank,> 74,> 74,> 74,> 74
MRO,Marathon Oil,16,19,> 74,> 74
MPC,Marathon Petroleum,4,4,> 74,> 74
MKTX,MarketAxess,> 74,> 74,> 74,> 74
MAR,Marriott International,4,8,59,> 74
MMC,Marsh McLennan,> 74,> 74,> 74,> 74
MLM,Martin Marietta Materials,4,4,> 74,> 74
MAS,Masco,> 74,> 74,> 74,> 74
MA,Mastercard,> 74,> 74,> 74,> 74
MTCH,Match Group,> 74,> 74,> 74,> 74
MKC,McCormick & Company,> 74,> 74,> 74,> 74
MCD,McDonald's,4,4,> 74,> 74
MCK,McKesson,> 74,> 74,> 74,> 74
MDT,Medtronic,> 74,> 74,> 74,> 74
MRK,Merck & Co.,> 74,> 74,> 74,> 74
META,Meta Platforms,> 74,> 74,> 74,> 74
MET,MetLife,> 74,> 74,> 74,> 74
MTD,Mettler Toledo,> 74,> 74,> 74,> 74
MGM,MGM Resorts,4,4,47,> 74
MCHP,Microchip Technology,33,71,> 74,> 74
MU,Micron Technology,> 74,> 74,> 74,> 74
MSFT,Microsoft,> 74,> 74,> 74,> 74
MAA,Mid-America Apartment Communities,57,> 74,67,> 74
MRNA,Moderna,0,0,0,0
MHK,Mohawk Industries,4,4,65,> 74
MOH,Molina Healthcare,> 74,> 74,> 74,> 74
TAP,Molson Coors Beverage Company,0,0,0,0
MDLZ,Mondelez International,4,4,> 74,> 74
MPWR,Monolithic Power Systems,> 74,> 74,> 74,> 74
MNST,Monster Beverage,> 74,> 74,> 74,> 74
MCO,Moody's Corporation,> 74,> 74,> 74,> 74
MS,Morgan Stanley,> 74,> 74,> 74,> 74
MOS,Mosaic Company (The),4,4,14,> 74
MSI,Motorola Solutions,> 74,> 74,> 74,> 74
MSCI,MSCI,> 74,> 74,> 74,> 74
NDAQ,Nasdaq,> 74,> 74,> 74,> 74
NTAP,NetApp,> 74,> 74,> 74,> 74
NFLX,Netflix,> 74,> 74,> 74,> 74
NWL,Newell Brands,0,0,0,0
NEM,Newmont,74,> 74,> 74,> 74
NWSA,News Corp (Class A),> 74,> 74,> 74,> 74
NWS,News Corp (Class B),> 74,> 74,> 74,> 74
NEE,NextEra Energy,4,4,> 74,> 74
NKE,Nike,71,> 74,> 74,> 74
NI,NiSource,4,4,> 74,> 74
NDSN,Nordson Corporation,> 74,> 74,> 74,> 74
NSC,Norfolk Southern Railway,73,> 74,> 74,> 74
NTRS,Northern Trust,> 74,> 74,> 74,> 74
NOC,Northrop Grumman,> 74,> 74,> 74,> 74
NCLH,Norwegian Cruise Line Holdings,4,4,> 74,> 74
NRG,NRG Energy,3,4,37,4
NUE,Nucor,4,4,70,> 74
NVDA,Nvidia,> 74,> 74,> 74,> 74
NVR,NVR,> 74,> 74,> 74,> 74
NXPI,NXP Semiconductors,> 74,> 74,> 74,> 74
ORLY,O'Reilly Auto Parts,> 74,> 74,> 74,> 74
OXY,Occidental Petroleum,4,4,> 74,> 74
ODFL,Old Dominion,> 74,> 74,> 74,> 74
OMC,Omnicom Group,0,0,0,0
ON,ON Semiconductor,4,4,39,> 74
OKE,ONEOK,> 74,> 74,> 74,> 74
ORCL,Oracle Corporation,> 74,> 74,> 74,> 74
OGN,Organon & Co.,> 74,> 74,> 74,> 74
OTIS,Otis Worldwide,> 74,> 74,> 74,> 74
PCAR,Paccar,> 74,> 74,> 74,> 74
PKG,Packaging Corporation of America,4,4,21,> 74
PANW,Palo Alto Networks,4,4,> 74,> 74
PARA,Paramount Global,0,0,0,0
PH,Parker Hannifin,> 74,> 74,> 74,> 74
PAYX,Paychex,> 74,> 74,> 74,> 74
PAYC,Paycom,> 74,> 74,> 74,> 74
PYPL,PayPal,> 74,> 74,> 74,> 74
PNR,Pentair,> 74,> 74,> 74,> 74
PEP,PepsiCo,4,4,> 74,> 74
PFE,Pfizer,> 74,> 74,> 74,> 74
PCG,PG&E Corporation,12,> 74,> 74,> 74
PM,Philip Morris International,> 74,> 74,> 74,> 74
PSX,Phillips 66,4,4,67,> 74
PNW,Pinnacle West,4,4,31,15
PXD,Pioneer Natural Resources,58,69,> 74,> 74
PNC,PNC Financial Services,> 74,> 74,> 74,> 74
POOL,Pool Corporation,> 74,> 74,> 74,> 74
PPG,PPG Industries,> 74,> 74,> 74,> 74
PPL,PPL Corporation,4,4,20,> 74
PFG,Principal Financial Group,> 74,> 74,> 74,> 74
PG,Procter & Gamble,> 74,> 74,> 74,> 74
PGR,Progressive Corporation,> 74,> 74,> 74,> 74
PLD,Prologis,> 74,> 74,> 74,> 74
PRU,Prudential Financial,> 74,> 74,> 74,> 74
PEG,Public Service Enterprise Group,> 74,> 74,> 74,> 74
PTC,PTC,> 74,> 74,> 74,> 74
PSA,Public Storage,> 74,> 74,> 74,> 74
PHM,PulteGroup,4,4,> 74,> 74
QRVO,Qorvo,> 74,> 74,> 74,> 74
PWR,Quanta Services,> 74,> 74,> 74,> 74
QCOM,Qualcomm,> 74,> 74,> 74,> 74
DGX,Quest Diagnostics,> 74,> 74,> 74,> 74
RL,Ralph Lauren Corporation,40,58,> 74,> 74
RJF,Raymond James,> 74,> 74,> 74,> 74
RTX,RTX Corporation,> 74,> 74,> 74,> 74
O,Realty Income,4,4,> 74,> 74
REG,Regency Centers,> 74,> 74,> 74,> 74
REGN,Regeneron,> 74,> 74,> 74,> 74
RF,Regions Financial Corporation,> 74,> 74,> 74,> 74
RSG,Republic Services,4,4,> 74,> 74
RMD,ResMed,> 74,> 74,> 74,> 74
RVTY,Revvity,> 74,> 74,> 74,> 74
RHI,Robert Half,> 74,> 74,> 74,> 74
ROK,Rockwell Automation,> 74,> 74,> 74,> 74
ROL,Rollins,> 74,> 74,> 74,> 74
ROP,Roper Technologies,> 74,> 74,> 74,> 74
ROST,Ross Stores,> 74,> 74,> 74,> 74
RCL,Royal Caribbean Group,62,> 74,> 74,> 74
SPGI,S&P Global,> 74,> 74,> 74,> 74
CRM,Salesforce,> 74,> 74,> 74,> 74
SBAC,SBA Communications,> 74,> 74,> 74,> 74
SLB,Schlumberger,4,4,> 74,> 74
STX,Seagate Technology,> 74,> 74,> 74,> 74
SEE,Sealed Air,> 74,> 74,> 74,> 74
SRE,Sempra Energy,4,4,57,> 74
NOW,ServiceNow,> 74,> 74,> 74,> 74
SHW,Sherwin-Williams,> 74,> 74,> 74,> 74
SPG,Simon Property Group,> 74,> 74,> 74,> 74
SWKS,Skyworks Solutions,> 74,> 74,> 74,> 74
SJM,J.M. Smucker Company (The),0,0,0,0
SNA,Snap-on,> 74,> 74,> 74,> 74
SEDG,SolarEdge,0,0,0,0
LUV,Southwest Airlines,4,4,> 74,> 74
SWK,Stanley Black & Decker,> 74,> 74,> 74,> 74
SBUX,Starbucks,4,4,4,> 74
STT,State Street Corporation,> 74,> 74,> 74,> 74
STLD,Steel Dynamics,24,61,> 74,> 74
STE,Steris,> 74,> 74,> 74,> 74
SYK,Stryker Corporation,> 74,> 74,> 74,> 74
SYF,Synchrony Financial,> 74,> 74,> 74,> 74
SNPS,Synopsys,> 74,> 74,> 74,> 74
SYY,Sysco,> 74,> 74,> 74,> 74
TMUS,T-Mobile US,> 74,> 74,> 74,> 74
TROW,T. Rowe Price,> 74,> 74,> 74,> 74
TTWO,Take-Two Interactive,0,0,0,0
TPR,Tapestry,0,0,0,0
TRGP,Targa Resources,4,4,> 74,> 74
TGT,Target Corporation,49,59,> 74,> 74
TEL,TE Connectivity,> 74,> 74,> 74,> 74
TDY,Teledyne Technologies,> 74,> 74,> 74,> 74
TFX,Teleflex,> 74,> 74,> 74,> 74
TER,Teradyne,> 74,> 74,> 74,> 74
TSLA,Tesla,> 74,> 74,> 74,> 74
TXN,Texas Instruments,> 74,> 74,> 74,> 74
TXT,Textron,> 74,> 74,> 74,> 74
TMO,Thermo Fisher Scientific,> 74,> 74,> 74,> 74
TJX,TJX Companies,> 74,> 74,> 74,> 74
TSCO,Tractor Supply,> 74,> 74,> 74,> 74
TT,Trane Technologies,> 74,> 74,> 74,> 74
TDG,TransDigm Group,> 74,> 74,> 74,> 74
TRV,Travelers Companies (The),> 74,> 74,> 74,> 74
TRMB,Trimble Inc.,> 74,> 74,> 74,> 74
TFC,Truist,> 74,> 74,> 74,> 74
TYL,Tyler Technologies,> 74,> 74,> 74,> 74
TSN,Tyson Foods,4,4,23,> 74
USB,U.S. Bank,> 74,> 74,> 74,> 74
UDR,UDR,> 74,> 74,> 74,> 74
ULTA,Ulta Beauty,> 74,> 74,> 74,> 74
UNP,Union Pacific Corporation,> 74,> 74,> 74,> 74
UAL,United Airlines Holdings,4,4,> 74,> 74
UPS,United Parcel Service,4,4,> 74,> 74
URI,United Rentals,> 74,> 74,> 74,> 74
UNH,UnitedHealth Group,> 74,> 74,> 74,> 74
UHS,Universal Health Services,> 74,> 74,> 74,> 74
VLO,Valero Energy,4,4,53,> 74
VTR,Ventas,54,68,> 74,> 74
VRSN,Verisign,> 74,> 74,> 74,> 74
VRSK,Verisk,> 74,> 74,> 74,> 74
VZ,Verizon,> 74,> 74,> 74,> 74
VRTX,Vertex Pharmaceuticals,> 74,> 74,> 74,> 74
VFC,VF Corporation,38,> 74,40,> 74
VTRS,Viatris,0,0,0,0
VICI,Vici Properties,> 74,> 74,> 74,> 74
V,Visa Inc.,> 74,> 74,> 74,> 74
VMC,Vulcan Materials Company,68,> 74,> 74,> 74
WAB,Wabtec,> 74,> 74,> 74,> 74
WBA,Walgreens Boots Alliance,0,0,0,0
WMT,Walmart,> 74,> 74,> 74,> 74
WBD,Warner Bros. Discovery,> 74,> 74,> 74,> 74
WM,Waste Management,4,4,> 74,> 74
WAT,Waters Corporation,> 74,> 74,> 74,> 74
WEC,WEC Energy Group,4,4,7,> 74
WFC,Wells Fargo,> 74,> 74,> 74,> 74
WELL,Welltower,> 74,> 74,> 74,> 74
WST,West Pharmaceutical Services,> 74,> 74,> 74,> 74
WDC,Western Digital,> 74,> 74,> 74,> 74
WRK,WestRock,0,0,0,0
WY,Weyerhaeuser,6,11,> 74,> 74
WHR,Whirlpool Corporation,> 74,> 74,> 74,> 74
WMB,Williams Companies,4,4,> 74,> 74
WTW,Willis Towers Watson,> 74,> 74,> 74,> 74
GWW,W. W. Grainger,> 74,> 74,> 74,> 74
WYNN,Wynn Resorts,> 74,> 74,> 74,> 74
XEL,Xcel Energy,4,4,> 74,17
XYL,Xylem Inc.,> 74,> 74,> 74,> 74
YUM,Yum! Brands,> 74,> 74,> 74,> 74
ZBRA,Zebra Technologies,> 74,> 74,> 74,> 74
ZBH,Zimmer Biomet,> 74,> 74,> 74,> 74
ZION,Zions Bancorporation,> 74,> 74,> 74,> 74
ZTS,Zoetis,> 74,> 74,> 74,> 74
