Ticker,Company Name,Electricity Usage (MWh),CO2 Emissions (Metric Tons),Water Usage (Cubic Meters),Revenue (USD),Profit (USD)
SLB,Schlumberger,816000,36115000,3965000,35710000000,3370000000
STX,Seagate Technology,1620000,976534,7650000,12200000000,3200000000
SEE,Sealed Air,1404337,418446,1571817,5360000000,441000000
SRE,Sempra Energy,23573630,7300000,105234445,13702000000,1796000000
NOW,ServiceNow,185000,86650,450000,13278000000,1748000000
SHW,Sherwin-Williams,2525673,670749,4500000,23574300000,2568500000
SPG,Simon Property Group,1250000,550000,12000000,6364505000,4614970000
SWKS,Skyworks Solutions,336679,69875,1815619,4087000000,477000000
SJM,J.M. Smucker Company (The),350000,341981,5000000,8726100000,-1230800000
SNA,Snap-on,333728,89041,518601,4743200000,1016900000
SEDG,SolarEdge,25000,11406,44073,1184400000,-405400000
LUV,Southwest Airlines,82351,25600000,321760,28100000000,441000000
SWK,Stanley Black & Decker,1174302,371762,1915263,15130000000,401900000
SBUX,Starbucks,2150000,13500000,5100000000,37184000000,1856400000
STT,State Street Corporation,75000,25000,350000,13960000000,2717000000
STLD,Steel Dynamics,7000000,1947698,35000000,18200000000,1200000000
STE,Steris,140000,75000,650000,5940000000,782300000
SYK,Stryker Corporation,195000,78000,1400000,25116000000,3246000000
SYF,Synchrony Financial,33098,32401,68331,19000000000,3552000000
SNPS,Synopsys,75482,345195,50000,7054200000,1332200000
SYY,Sysco,4354777,1292040,3500000,81370000000,1830000000
TMUS,T-Mobile US,7226040,2699882,807939,88310000000,11010000000
TROW,T. Rowe Price,57013,328388,25000,7314800000,2087100000
